logFC logCPM PValue FDR
huckleberry 7.70768517434384 10.8293530550928 4.46523500570387e-34 8.94431223992543e-30
watercress 7.3124143951404 9.78214791469619 1.89615307991698e-32 1.89909211719085e-28
chestnut 7.5068171111829 7.867870191642 3.05991310226553e-31 1.8288718380152e-27
rosemary 7.37534983838362 9.95535522601516 3.65208294746183e-31 1.8288718380152e-27
cauliflower 6.92434246387497 10.7856850988539 7.07922739391713e-30 2.83608007855108e-26
blackberry 6.85905915790115 12.1473162209723 9.88744019877302e-30 3.30092191036037e-26
cranberry 6.92631171154957 7.2074901962693 1.52060530643636e-29 4.35132069903239e-26
quince 6.67184508802741 12.600392063649 9.26155550534437e-29 2.27605042233669e-25
watermelon 6.7593781890884 13.7419282740537 1.02263760176877e-28 2.27605042233669e-25
strawberry 6.77056953277403 10.1642506598672 1.80181437601517e-28 3.60921437659598e-25
fennel 6.69497747413159 8.33412646454036 6.38910467470776e-28 1.16345596126428e-24
parsley 6.71449739385152 9.28950602392929 7.59168721689184e-28 1.26724238867967e-24
pear 7.30416348659692 3.1749613833388 1.18996747080742e-27 1.83355680059565e-24
grape 6.53824170196163 9.27213514442057 6.09778592351119e-27 8.72462498813233e-24
elderberry 6.32810137373221 10.9080001220708 2.58204369310414e-26 3.40288950809222e-23
orange 6.26845829881291 11.4649972884243 2.73992299085311e-26 3.40288950809222e-23
turnip 6.19598859727977 12.2329818910774 2.88797971332273e-26 3.40288950809222e-23
raisin 6.26186230721464 12.3689895683606 3.06555345130892e-26 3.41145006573161e-23
papaya 6.22146496543879 10.0039610033146 3.44059821052327e-26 3.62729593447324e-23
mustard 6.44692040902287 6.81680664449666 4.40144670116875e-26 4.40826894355556e-23
fig 6.1865146228322 11.5615031787532 6.29423523525626e-26 6.00380123797229e-23
basil 6.25259160502122 8.3695256053207 9.70516060869345e-26 8.83654873421539e-23
coconut 6.27806846291711 11.6344328675279 1.23096045932799e-25 1.07205952003474e-22
apricot 6.26615160600339 7.48843659114235 1.40646530242884e-25 1.17387110303967e-22
arugula 6.45431973358908 10.2453614697637 1.86077037977311e-25 1.49092365908941e-22
olive 6.21870295497435 11.5583163278608 2.29322390174369e-25 1.76675261445492e-22
currant 6.02766971985975 11.1884547739838 2.49601814662386e-25 1.85176812944528e-22
peach 6.11690487234235 9.04018188489651 4.4403022150867e-25 3.17656048822863e-22
mango 5.99362871869153 12.8807505391088 6.33417617519719e-25 4.37516837811638e-22
okra 5.95386708179682 9.36717346006908 7.75787730395723e-25 5.17993467585224e-22
blueberry 6.00339677400382 10.3281114534802 1.3159758504438e-24 8.50332653556123e-22
lentil 5.98228562963937 11.4307291249974 3.64515166458396e-24 2.28175103104004e-21
lettuce 5.86721684344906 11.38598689247 4.12064174129364e-24 2.50122953696524e-21
beet 6.20633103111966 3.95059881176991 7.27754702678241e-24 4.28754542627878e-21
