logFC logCPM PValue FDR
huckleberry 8.03957153087588 10.9954490246862 6.27675454553619e-36 1.25729670301635e-31
watercress 7.64058361305473 9.9432925036956 2.50801767527246e-34 2.51190510266913e-30
chestnut 7.83597536702213 8.03093528563449 4.75190128861667e-33 2.61591587698517e-29
rosemary 7.70206257320136 10.1151018941948 5.22373496477494e-33 2.61591587698517e-29
cauliflower 7.25298260991278 10.9467492722935 9.67661364743975e-32 3.87664495943731e-28
blackberry 7.19033112817458 12.3114414951579 1.3606914539479e-31 4.54266841900508e-28
cranberry 7.25991603636703 7.37340956765633 2.28335720812056e-31 6.53398974798042e-28
quince 7.00115324000113 12.762078680829 1.25849339817318e-30 3.15111015735087e-27
watermelon 7.09350043491426 13.9086676091618 1.44993926716657e-30 3.22708149562373e-27
strawberry 7.10412884206899 10.3294149971577 2.58226135739899e-30 5.17252772500592e-27
fennel 7.02128802639012 8.49313474906892 9.58064318805862e-30 1.74463512454548e-26
parsley 7.04597488578448 9.45308896191002 1.14623078885313e-29 1.91334574429309e-26
pear 7.62925809022743 3.33352690533795 1.51534909966454e-29 2.33491983195233e-26
grape 6.86721791676329 9.43288680553955 9.22372702256453e-29 1.31971768563564e-25
elderberry 6.66326528694563 11.0745555082031 3.78943801913415e-28 4.66724004160645e-25
orange 6.59651840436404 11.6248497191242 3.92565459953328e-28 4.66724004160645e-25
turnip 6.52470451062021 12.3928740184291 3.96101446294791e-28 4.66724004160645e-25
raisin 6.5896510694601 12.5283553644843 4.34385722619432e-28 4.83398911654992e-25
papaya 6.55121486819765 10.1647511011668 4.85344277684328e-28 5.1168059085762e-25
mustard 6.77359635995125 6.97546346967465 7.24438971890758e-28 7.25561852297188e-25
fig 6.51937203676529 11.7249779867579 8.82226162613218e-28 8.41517726824066e-25
basil 6.57899941621306 8.52717035080671 1.45668424978286e-27 1.3263110094273e-24
coconut 6.6121347695926 11.798884273831 1.81338205097734e-27 1.57929808100553e-24
apricot 6.5934564059765 7.64729315660208 2.22840431966953e-27 1.85988195530418e-24
